,MEHP950101,KOSJ950113,KOSJ950110,OVEJ920103,DAYM780302,MUET010101,LUTR910102,DOSZ010104,FEND850101,LUTR910107,KOSJ950104,OVEJ920105,LUTR910108,GONG920101,ALTS910101,PRLA000101,NGPC000101,PRLA000102,BENS940102,GRAR740104,RUSR970103,KOSJ950115,TUDE900101,FITW660101,LUTR910106,KOSJ950112,OGAK980101,NIEK910101,JOHM930101,AZAE970102,LUTR910101,GEOD900101,AZAE970101,LUTR910105,MOHR870101,BENS940104,KOSJ950105,BENS940101,KOSJ950107,MEHP950102,NAOD960101,DAYM780301,MEHP950103,KAPO950101,LEVJ860101,BENS940103,KOSJ950106,MCLA720101,HENS920104,RUSR970102,RIER950101,KOSJ950109,MUET020102,VOGG950101,NIEK910102,OVEJ920101,MCLA710101,MIYT790101,DOSZ010102,OVEJ920102,CSEM940101,LINK010101,RUSR970101,LUTR910103,HENS920102,HENS920101,JOND920103,LUTR910109,KOSJ950108,WEIL970101,MIYS930101,KANM000101,JOND940101,QUIB020101,DOSZ010103,RISJ880101,BLAJ010101,CROG050101,KOSJ950103,MUET020101,KOSJ950101,KOSJ950102,KOSJ950111,OVEJ920104,KOLA920101,HENS920103,LUTR910104,WEIL970102,GIAG010101,DOSZ010101,KOSJ950114
F-P,0.69,0.4,0.0,0.012,-9.0,-4.5,-28.0,-3.57,2.0,-26.0,0.1,0.016,-28.0,-3.8,-5.0,-0.91,-5.0,-2.96,-3.4,114.0,1.0,0.3,-2.0,2.0,-9.0,1.1,-8.8,-0.28,-5.0,-5.0,-24.0,8.0,-6.0,2.0,4.0,-1.8,0.3,-3.2,0.1,1.07,-4.0,-5.0,1.66,3.14,-1.0,-3.8,0.1,0.0,-8.0,-1.0,76.0,0.3,-3.0,1.4,-0.31,-5.0,1.0,3.17,-6.23,0.006,-0.12,0.009000000000000001,4.0,-32.0,-5.0,-3.0,-3.0,-4.0,1.1,0.0,-0.76,-39.0,-4.0,-4.1,-3.8,-1.1,-4.0,-3.0,0.7,-5.0,0.1,0.1,0.4,0.006,0.0,-6.0,-8.0,4.0,0.0,-8.0,0.1
F-Q,0.88,0.4,0.0,0.006,-11.0,-2.0,-20.0,-4.86,1.0,-18.0,0.1,0.005,-19.0,-2.6,-6.0,-2.31,-2.0,-5.54,-3.6,116.0,-3.0,0.4,-22.0,2.0,-16.0,0.5,-8.6,-0.25,-6.4,-10.0,-15.0,6.0,-10.0,-9.0,7.0,-2.1,0.1,-4.4,0.1,1.07,-5.0,-5.0,1.16,11.5,-1.0,-2.8,0.1,0.0,-8.0,-2.0,51.0,0.4,-2.0,2.6,-0.26,-4.0,0.0,2.81,-7.06,0.011000000000000001,-0.44,0.003,-6.0,-13.0,-5.0,-4.0,-4.0,-12.0,0.5,0.0,-0.85,-29.0,-4.0,-1.7,-3.1,0.7,-4.0,-3.0,0.4,-4.0,0.8,0.1,0.7,0.01,6.6,-5.0,-14.0,3.0,0.3,-8.7,0.2
F-R,0.74,0.5,0.1,0.015,-8.0,-5.5,-11.0,-3.14,1.0,-15.0,0.7,0.0,-22.0,-3.2,-4.0,-1.4,-7.0,-4.36,-4.3,97.0,-1.0,0.2,-11.0,2.0,-10.0,0.4,-8.1,0.15,-6.0,-8.0,-14.0,1.0,-8.0,-9.0,5.0,-1.5,0.1,-4.9,0.1,1.26,-5.0,-4.0,1.09,10.1,-1.0,-3.5,0.1,0.0,-6.0,-3.0,0.0,0.0,-3.0,2.0,0.2,-4.0,1.0,2.47,-6.69,0.009000000000000001,-0.31,0.005,5.0,-18.0,-4.0,-2.0,-4.0,-11.0,0.1,-2.0,-0.79,-30.0,-4.0,-3.2,-2.0,0.4,-6.0,-3.0,0.8,-5.0,0.1,0.1,0.6,0.009000000000000001,9.0,-5.0,-14.0,1.0,0.5,-6.5,0.1
F-S,0.78,0.8,0.9,0.02,-6.0,-0.5,-37.0,-3.35,3.0,-19.0,0.1,0.012,-21.0,-2.8,-3.0,-1.11,-2.0,-5.03,-2.2,155.0,0.0,0.9,0.0,1.0,-16.0,0.8,-8.3,-0.13,-4.8,-5.0,-14.0,6.0,-5.0,-9.0,8.0,0.0,0.3,-1.8,1.2,1.28,-4.0,-3.0,0.94,9.65,-1.0,-2.6,0.6,0.0,-6.0,0.0,81.0,0.8,-2.0,2.4,-0.13,-3.0,2.0,3.45,-7.68,0.009000000000000001,-0.01,0.013999999999999999,-2.0,-18.0,-4.0,-2.0,-2.0,-14.0,1.1,-2.0,-0.53,-19.0,-1.0,-2.5,-2.2,0.5,-4.0,-3.0,0.1,-3.0,2.1,2.1,0.5,0.011000000000000001,5.0,-4.0,-14.0,0.0,0.5,-4.1,0.5
F-T,0.72,0.5,0.7,0.012,-8.0,0.0,-37.0,-2.07,1.0,-19.0,0.1,0.013000000000000001,-19.0,-2.2,-4.0,-0.69,-2.0,-4.0,-2.6,103.0,0.0,0.6,4.0,2.0,-17.0,0.7,-7.7,0.19,-5.0,-3.0,-13.0,7.0,-4.0,-8.0,10.0,-2.1,0.5,-2.4,0.1,1.32,-2.0,-3.0,0.97,12.8,-1.0,-2.2,0.7,0.0,-4.0,-2.0,84.0,0.9,-2.0,3.0,0.21,-3.0,1.0,2.6,-6.23,0.013999999999999999,0.02,0.023,3.0,-16.0,-3.0,-1.0,-2.0,-13.0,0.7,-2.0,-0.75,-18.0,-2.0,-0.8,-0.1,0.3,-2.0,-2.0,0.1,-3.0,1.8,0.6,0.0,0.013000000000000001,5.0,-4.0,-13.0,0.0,-0.8,-5.3,0.4
F-V,0.76,1.2,2.0,0.021,-7.0,1.0,-9.0,1.36,4.0,-2.0,0.3,0.033,-9.0,0.1,-3.0,0.51,-1.0,0.52,-0.1,50.0,3.0,1.5,16.0,1.0,-13.0,1.7,-7.1,0.13,-1.3,7.0,0.0,8.0,5.0,-3.0,11.0,1.0,1.0,-0.5,2.1,1.51,5.0,-1.0,0.44,17.2,0.0,0.1,1.7,1.0,-2.0,3.0,93.0,1.0,0.0,5.3,0.16,-1.0,3.0,1.43,1.52,0.040999999999999995,0.47,0.024,5.0,-11.0,-1.0,0.0,0.0,-9.0,2.0,0.0,0.36,0.0,-1.0,0.9,5.8,0.8,1.0,0.0,1.5,-1.0,0.1,2.9,1.8,0.018000000000000002,0.0,-2.0,-9.0,1.0,0.3,27.5,1.4
F-W,0.66,1.1,1.2,0.071,-4.0,3.5,11.0,2.45,3.0,10.0,0.9,0.057999999999999996,19.0,3.6,-1.0,2.29,0.0,6.49,0.5,40.0,5.0,1.4,8.0,2.0,3.0,1.1,-6.9,0.15,3.4,4.0,10.0,9.0,5.0,32.0,11.0,0.0,2.9,-1.6,1.3,1.31,3.0,0.0,1.19,19.3,0.0,3.0,1.2,3.0,2.0,4.0,89.0,2.2,3.0,8.8,0.18,2.0,6.0,1.11,-0.5,0.053,0.41,0.017,11.0,36.0,1.0,1.0,-1.0,16.0,0.7,2.0,0.25,14.0,-3.0,3.7,4.4,-0.9,9.0,3.0,2.9,3.0,0.1,0.9,1.8,0.09300000000000001,9.0,0.0,4.0,-1.0,-0.7,18.4,1.6
F-Y,0.71,5.9,6.3,0.096,2.0,5.0,21.0,4.24,5.0,22.0,7.5,0.14300000000000002,33.0,5.1,4.0,1.96,4.0,5.38,5.9,22.0,5.0,6.4,24.0,1.0,16.0,5.9,-6.0,0.24,3.4,3.0,22.0,10.0,3.0,24.0,10.0,2.0,7.1,5.6,6.7,1.34,2.0,7.0,0.99,22.6,1.0,5.3,5.2,3.0,8.0,7.0,81.0,6.7,5.0,10.3,0.29,3.0,6.0,0.48,-0.36,0.085,0.54,0.111,0.0,40.0,4.0,3.0,5.0,20.0,5.7,1.0,0.14,37.0,2.0,5.2,7.6,2.0,8.0,3.0,2.4,6.0,7.1,10.5,5.7,0.073,9.0,4.0,25.0,0.0,0.5,21.0,4.6
G-A,1.11,2.6,2.5,0.092,-1.0,0.5,5.0,-0.26,5.0,-4.0,1.5,0.07,2.0,0.5,1.0,0.27,1.0,0.63,0.8,60.0,0.0,2.5,-3.0,1.0,14.0,1.2,-5.8,-0.4,-0.5,1.0,-5.0,9.0,5.0,9.0,8.0,1.2,7.0,0.8,1.6,0.83,0.0,1.0,1.11,19.9,0.0,0.6,2.8,3.0,0.0,1.0,96.0,3.7,1.0,5.7,-0.41,0.0,3.0,0.91,-2.72,0.065,0.11,0.06,1.0,1.0,0.0,0.0,1.0,12.0,0.5,-1.0,0.19,4.0,1.0,1.4,2.0,0.6,1.0,-1.0,2.8,0.0,2.0,2.7,2.7,0.079,0.0,0.0,5.0,-1.0,-1.8,7.3,3.6
G-C,1.36,0.3,0.3,0.0,-8.0,-1.5,-36.0,-2.34,3.0,-21.0,0.4,0.0,4.0,-2.0,-5.0,-2.11,-2.0,-5.7,-1.7,159.0,0.0,0.4,-1.0,1.0,-10.0,0.3,-7.5,0.12,-8.2,0.0,-15.0,8.0,1.0,-33.0,8.0,1.0,0.2,-1.3,0.1,0.8,0.0,-3.0,0.51,15.0,0.0,-2.0,0.1,0.0,-6.0,-1.0,94.0,0.4,-1.0,3.2,0.13,-6.0,1.0,2.22,-2.34,0.0,0.25,0.001,-1.0,4.0,-4.0,-3.0,-1.0,-18.0,0.1,0.0,-0.18,-29.0,-1.0,-1.3,-1.0,-1.7,-15.0,-3.0,0.1,-2.0,0.1,0.1,0.6,0.0,0.0,-6.0,3.0,3.0,0.3,30.7,0.3
G-D,1.02,2.3,0.6,0.021,-3.0,-4.5,6.0,1.48,4.0,-5.0,1.7,0.016,4.0,0.1,0.0,-1.2,-2.0,-3.91,0.7,94.0,2.0,1.6,8.0,1.0,-4.0,1.3,-6.3,0.08,-2.1,8.0,-7.0,6.0,7.0,3.0,9.0,1.1,0.5,0.8,0.7,0.61,4.0,1.0,1.88,18.7,0.0,0.2,0.7,0.0,-2.0,1.0,36.0,1.4,0.0,5.3,0.08,-1.0,3.0,2.37,-0.67,0.07,0.11,0.036000000000000004,3.0,2.0,-2.0,-1.0,1.0,1.0,1.1,-2.0,0.15,-10.0,3.0,0.9,-1.3,-0.4,2.0,-1.0,2.8,-1.0,3.3,0.1,2.1,0.066,0.0,-3.0,0.0,-1.0,1.0,-8.4,0.5
G-E,1.06,1.6,0.3,0.033,-3.0,-6.5,8.0,-1.17,4.0,-4.0,0.9,0.037000000000000005,3.0,-0.8,-1.0,-0.41,-3.0,-1.8,0.5,98.0,1.0,1.1,-5.0,1.0,13.0,0.8,-7.4,-0.45,-2.5,0.0,-6.0,6.0,1.0,4.0,6.0,1.4,1.8,0.5,0.3,0.87,0.0,0.0,1.15,19.3,0.0,-0.5,0.1,0.0,-6.0,-1.0,43.0,1.1,-1.0,4.4,-0.46,-2.0,3.0,2.78,-1.59,0.042,-0.23,0.006999999999999999,3.0,1.0,-3.0,-2.0,0.0,6.0,0.5,-2.0,0.13,-23.0,3.0,0.5,-3.0,0.3,0.0,-2.0,1.9,-2.0,0.1,1.0,1.5,0.047,0.0,-4.0,8.0,0.0,0.0,-10.8,0.4
G-F,0.68,0.5,0.1,0.015,-8.0,-1.0,-52.0,-3.47,1.0,-30.0,0.3,0.006,-26.0,-5.2,-5.0,-2.67,-2.0,-7.46,-5.8,153.0,-3.0,0.2,-12.0,2.0,-17.0,0.1,-8.1,-0.05,-8.6,-3.0,-24.0,6.0,-4.0,-10.0,7.0,-1.9,0.1,-5.7,0.1,1.3,-3.0,-5.0,1.16,9.84,-1.0,-5.4,0.1,0.0,-8.0,-6.0,83.0,0.4,-4.0,0.0,-0.05,-6.0,0.0,4.14,-7.17,0.006,-0.09,0.001,-1.0,-21.0,-5.0,-3.0,-5.0,-15.0,0.1,-2.0,-0.52,-32.0,-4.0,-4.7,-1.9,-0.4,-8.0,-5.0,0.4,-6.0,0.3,0.8,0.3,0.02,0.0,-6.0,-25.0,1.0,-0.5,8.8,0.1
G-H,1.1,0.3,0.5,0.006999999999999999,-8.0,-5.5,-14.0,-1.15,1.0,-12.0,0.4,0.0,-1.0,-1.4,-4.0,-0.4,-4.0,-1.24,-2.0,98.0,-3.0,0.3,-8.0,2.0,-3.0,0.3,-7.7,0.06,-3.2,5.0,-13.0,9.0,6.0,-4.0,7.0,-2.2,0.3,-2.1,0.1,0.71,3.0,-2.0,1.4,12.2,0.0,-1.6,0.6,0.0,-4.0,-1.0,75.0,0.4,-1.0,3.8,0.09,-3.0,2.0,2.78,-3.42,0.017,0.18,0.008,-5.0,0.0,-3.0,-2.0,-2.0,-5.0,0.1,-1.0,-0.19,-18.0,-3.0,-1.7,-0.9,-1.2,-2.0,-2.0,0.4,-3.0,4.8,0.1,0.3,0.042,0.0,-4.0,-32.0,1.0,0.2,-2.9,0.2
G-I,0.79,0.0,0.0,0.016,-9.0,-2.5,-20.0,-4.03,2.0,-18.0,0.1,0.013000000000000001,-8.0,-4.5,-4.0,-2.93,-2.0,-8.58,-3.8,135.0,-1.0,0.0,-21.0,2.0,-9.0,0.1,-8.0,-0.23,-5.5,-8.0,-16.0,7.0,-10.0,-8.0,6.0,-2.5,0.1,-3.4,0.1,1.25,-7.0,-3.0,0.98,14.7,-1.0,-4.3,0.1,0.0,-8.0,-4.0,87.0,0.1,-4.0,0.7,-0.24,-5.0,1.0,3.6,-11.8,0.022000000000000002,-0.22,0.006999999999999999,0.0,-5.0,-6.0,-4.0,-3.0,-11.0,0.1,-2.0,-0.58,-41.0,-2.0,-3.7,-1.2,0.0,-3.0,-6.0,0.1,-7.0,0.8,0.1,0.0,0.024,0.0,-7.0,-6.0,2.0,0.0,7.8,0.1
G-K,1.05,1.2,0.2,0.018000000000000002,-6.0,-4.5,2.0,-0.44,2.0,-12.0,0.4,0.0,-1.0,-1.1,-3.0,-0.71,-5.0,-1.82,-1.0,127.0,1.0,1.0,-11.0,2.0,-2.0,0.5,-6.8,-0.34,-3.5,0.0,-15.0,5.0,-1.0,-1.0,7.0,-2.2,0.7,-1.4,1.0,0.76,0.0,-2.0,1.43,15.6,0.0,-1.1,0.1,0.0,-4.0,0.0,39.0,0.9,-1.0,4.1,-0.38,-3.0,3.0,3.54,-2.1,0.028999999999999998,-0.23,0.022000000000000002,2.0,-4.0,-2.0,-2.0,-1.0,0.0,0.1,-1.0,-0.16,-18.0,-1.0,0.4,-2.2,-0.1,0.0,-2.0,1.7,-2.0,0.1,0.6,1.5,0.033,0.0,-3.0,2.0,1.0,-0.5,-11.6,0.5
G-L,0.88,0.1,0.1,0.016,-9.0,-2.0,-32.0,-4.21,2.0,-22.0,0.2,0.006999999999999999,-19.0,-4.4,-5.0,-1.98,-2.0,-6.55,-4.9,138.0,-2.0,0.2,-16.0,1.0,-9.0,0.1,-8.0,-0.54,-7.2,-8.0,-17.0,7.0,-9.0,-21.0,6.0,-2.2,0.3,-4.6,0.3,1.09,-6.0,-4.0,1.1,11.5,-1.0,-4.6,0.1,0.0,-8.0,-4.0,89.0,0.4,-4.0,0.8,-0.56,-5.0,1.0,3.67,-10.82,0.013000000000000001,-0.14,0.017,-2.0,-15.0,-5.0,-3.0,-4.0,-15.0,0.1,-1.0,-0.56,-42.0,-4.0,-3.8,-1.4,-0.2,-6.0,-5.0,0.1,-6.0,0.1,0.6,0.2,0.027999999999999997,0.0,-7.0,-21.0,3.0,-0.1,6.0,0.3
G-M,0.81,0.3,0.2,0.042,-7.0,-1.5,-32.0,-3.19,1.0,-15.0,0.2,0.015,-6.0,-3.5,-4.0,-1.86,-1.0,-5.29,-3.8,127.0,0.0,0.1,-10.0,2.0,4.0,0.1,-8.2,-0.29,-5.2,-5.0,-11.0,8.0,-3.0,-2.0,4.0,-2.3,0.1,-3.7,0.1,1.18,-3.0,-3.0,1.07,15.0,-1.0,-3.5,0.1,0.0,-6.0,-3.0,85.0,0.3,-3.0,1.7,-0.3,-4.0,1.0,3.34,-7.33,0.015,-0.01,0.0,1.0,-5.0,-4.0,-2.0,-3.0,2.0,0.1,0.0,-0.61,-30.0,-3.0,-3.8,-0.9,-0.4,-7.0,-4.0,0.1,-5.0,1.4,0.4,0.1,0.039,0.0,-5.0,-6.0,3.0,0.4,7.1,0.1
G-N,0.96,2.2,0.3,0.019,-2.0,-3.0,5.0,1.55,3.0,-2.0,1.4,0.009000000000000001,6.0,0.4,0.0,0.79,-1.0,1.16,0.4,80.0,2.0,1.4,10.0,2.0,6.0,1.0,-6.8,0.37,-1.4,7.0,-4.0,10.0,8.0,-4.0,10.0,-2.6,1.3,-0.1,0.3,0.71,5.0,0.0,1.8,18.1,0.0,0.4,0.1,0.0,0.0,1.0,64.0,1.2,0.0,5.6,0.4,-1.0,3.0,1.96,-1.07,0.036000000000000004,0.22,0.027000000000000003,3.0,4.0,-1.0,0.0,0.0,0.0,0.5,0.0,-0.11,7.0,-2.0,0.7,-0.1,0.2,1.0,-1.0,2.9,0.0,2.3,0.1,2.2,0.073,0.0,-1.0,7.0,0.0,0.4,-6.9,0.6
G-P,0.92,0.3,0.3,0.017,-5.0,-4.5,-11.0,0.51,3.0,-17.0,0.2,0.004,3.0,-1.6,-2.0,-0.04,-3.0,-1.79,-1.8,42.0,1.0,0.3,4.0,2.0,-14.0,0.5,-7.2,0.1,-2.5,10.0,-19.0,8.0,13.0,-10.0,11.0,-1.8,0.1,-1.7,0.1,0.75,6.0,-1.0,1.8,17.0,0.0,-1.7,0.3,0.0,-4.0,0.0,93.0,0.3,-1.0,3.6,0.09,-2.0,3.0,0.97,-0.52,0.043,0.25,0.017,0.0,0.0,-3.0,-2.0,-1.0,-13.0,0.6,0.0,-0.14,-18.0,-2.0,-0.8,-1.5,-1.2,0.0,-2.0,0.3,-3.0,0.6,0.1,0.2,0.054000000000000006,0.0,-5.0,6.0,2.0,-0.2,-7.1,0.2
G-Q,1.11,0.6,0.3,0.033,-6.0,-3.5,3.0,-1.25,2.0,-6.0,0.3,0.013000000000000001,3.0,-1.0,-3.0,-0.12,-2.0,-0.24,-1.4,87.0,0.0,0.5,-10.0,2.0,4.0,0.4,-7.6,-0.28,-2.8,0.0,-8.0,10.0,0.0,3.0,8.0,-2.1,1.3,-1.6,0.1,0.78,0.0,-1.0,1.22,16.3,0.0,-1.1,0.1,0.0,-4.0,0.0,68.0,0.8,-1.0,4.2,-0.32,-2.0,2.0,2.48,-2.6,0.031,-0.13,0.016,-1.0,2.0,-3.0,-2.0,-1.0,4.0,0.4,0.0,-0.14,-20.0,-1.0,-0.3,-1.3,0.2,-3.0,-2.0,0.8,-3.0,0.4,0.1,0.6,0.054000000000000006,0.0,-4.0,5.0,2.0,0.5,-9.0,0.4
G-R,0.99,0.4,0.4,0.017,-8.0,-5.5,-2.0,-1.56,3.0,-6.0,0.3,0.023,3.0,-1.0,-4.0,-0.96,-5.0,-3.39,-0.7,125.0,1.0,0.4,-6.0,1.0,-8.0,0.2,-7.5,-0.18,-2.8,0.0,-7.0,5.0,0.0,6.0,7.0,0.8,0.8,-0.1,0.3,0.84,0.0,-3.0,1.41,16.1,0.0,-1.0,0.1,0.0,-6.0,0.0,17.0,1.0,-1.0,4.2,-0.21,-2.0,3.0,3.58,-3.58,0.013000000000000001,-0.11,0.023,2.0,2.0,-3.0,-2.0,0.0,2.0,0.1,-1.0,0.2,-18.0,0.0,-0.2,-2.2,0.1,-2.0,-3.0,0.4,-3.0,1.2,0.1,0.4,0.04,0.0,-4.0,0.0,1.0,-0.8,-8.2,0.3
G-S,0.94,2.2,1.4,0.036000000000000004,-1.0,0.5,7.0,1.17,5.0,-4.0,2.1,0.064,6.0,0.4,1.0,0.29,1.0,0.63,0.6,56.0,0.0,1.9,9.0,1.0,16.0,2.0,-6.3,0.28,-1.3,6.0,-6.0,10.0,8.0,0.0,11.0,-0.6,1.6,0.8,1.6,0.91,4.0,1.0,1.37,20.2,0.0,0.4,1.4,0.0,0.0,0.0,98.0,1.2,0.0,5.6,0.28,-1.0,3.0,0.85,-0.24,0.068,0.29,0.038,4.0,5.0,0.0,0.0,1.0,8.0,1.9,0.0,0.0,2.0,1.0,1.6,0.6,0.7,0.0,-1.0,2.2,0.0,0.1,1.8,1.9,0.064,0.0,-1.0,7.0,0.0,0.1,-1.5,1.7
G-T,0.86,1.7,0.8,0.027999999999999997,-5.0,-1.5,0.0,-1.03,2.0,-10.0,0.8,0.032,4.0,-1.1,-1.0,-0.81,-1.0,-2.24,-0.7,59.0,0.0,1.1,-13.0,2.0,8.0,0.8,-6.7,0.1,-3.8,1.0,-12.0,9.0,1.0,-1.0,10.0,-2.1,1.1,-0.5,0.1,1.03,0.0,0.0,1.3,18.2,0.0,-1.0,0.3,0.0,-4.0,0.0,99.0,0.7,-1.0,4.1,0.11,-3.0,2.0,1.7,-3.37,0.049,-0.02,0.015,0.0,3.0,-2.0,-2.0,-1.0,3.0,0.5,0.0,-0.09,-17.0,0.0,-0.6,-0.9,0.2,-4.0,-2.0,1.9,-2.0,1.2,2.8,1.5,0.037000000000000005,0.0,-3.0,4.0,2.0,-0.1,-7.3,0.7
G-V,0.95,0.4,0.5,0.013000000000000001,-5.0,-2.5,-20.0,-3.91,4.0,-14.0,0.4,0.008,-9.0,-3.3,-2.0,-1.96,-2.0,-5.32,-2.5,109.0,-1.0,0.4,-14.0,1.0,-9.0,0.4,-7.3,-0.24,-5.6,-7.0,-12.0,8.0,-8.0,-14.0,6.0,1.1,0.9,-2.3,0.1,1.09,-5.0,-1.0,0.9,14.5,-1.0,-3.1,0.4,0.0,-8.0,-2.0,90.0,0.8,-3.0,1.9,-0.25,-4.0,2.0,2.76,-10.01,0.013999999999999999,-0.12,0.012,-3.0,-5.0,-5.0,-3.0,-2.0,-12.0,0.1,-2.0,-0.15,-30.0,-1.0,-1.4,-1.3,0.1,-5.0,-5.0,0.3,-5.0,0.5,0.1,0.2,0.039,0.0,-6.0,-10.0,1.0,0.4,11.1,0.4
G-W,0.58,0.2,0.1,0.049,-13.0,-4.0,-23.0,-1.86,3.0,-15.0,0.1,0.005,-46.0,-4.0,-8.0,-1.21,-5.0,-4.77,-4.5,184.0,-1.0,0.1,-13.0,1.0,-32.0,0.1,-7.2,-0.1,-6.3,-1.0,-12.0,5.0,-1.0,-33.0,8.0,1.4,0.1,-1.7,0.1,1.28,-1.0,-7.0,1.46,7.2,-1.0,-4.1,0.1,0.0,-6.0,-2.0,94.0,0.0,-4.0,1.2,-0.11,-4.0,1.0,5.13,-5.61,0.009000000000000001,-0.08,0.0,0.0,-21.0,-4.0,-2.0,-2.0,-33.0,0.1,-2.0,-0.15,-19.0,-2.0,-4.2,-1.7,-1.3,-10.0,-4.0,0.1,-5.0,0.6,0.1,0.1,0.040999999999999995,0.0,-6.0,-57.0,0.0,-0.1,8.4,0.2
G-Y,0.58,0.2,0.0,0.021,-12.0,-3.5,-16.0,-2.9,2.0,-16.0,0.3,0.004,-14.0,-4.0,-6.0,-1.62,-3.0,-4.34,-4.8,147.0,0.0,0.2,-18.0,2.0,-9.0,0.3,-7.5,0.19,-5.4,-1.0,-16.0,6.0,-2.0,-14.0,10.0,-1.8,0.1,-4.9,0.1,1.27,-1.0,-5.0,1.51,13.7,-1.0,-4.3,0.1,0.0,-6.0,-1.0,98.0,0.3,-4.0,1.2,0.2,-3.0,0.0,4.08,-6.74,0.021,-0.24,0.002,1.0,-14.0,-5.0,-3.0,-4.0,-13.0,0.3,-2.0,-0.35,-29.0,-5.0,-4.8,-1.3,-0.2,-10.0,-4.0,0.1,-5.0,0.1,0.1,0.1,0.036000000000000004,0.0,-6.0,-17.0,1.0,0.3,9.8,0.1
H-A,1.17,0.9,0.2,0.003,-6.0,-3.0,-2.0,-2.56,2.0,-3.0,1.2,0.005,-6.0,-0.8,-3.0,-1.42,-3.0,-3.01,-1.6,86.0,0.0,0.9,-10.0,2.0,2.0,1.4,-7.7,-0.18,-3.1,-2.0,-4.0,10.0,-2.0,-11.0,11.0,-2.1,0.9,-2.1,1.0,0.79,-1.0,-1.0,1.04,11.5,0.0,-1.0,0.1,0.0,-4.0,-2.0,71.0,0.4,-1.0,4.4,-0.2,-2.0,3.0,2.17,-4.62,0.01,-0.11,0.019,-1.0,-5.0,-2.0,-2.0,-2.0,-4.0,0.6,0.0,-0.21,-19.0,-3.0,-1.4,1.4,-0.6,-2.0,-2.0,1.8,-2.0,0.3,1.2,2.5,0.013000000000000001,0.0,-3.0,-30.0,2.0,0.2,6.8,0.6
H-C,1.5,0.1,0.8,0.0,-7.0,-5.0,-20.0,-2.57,2.0,-23.0,0.1,0.0,-5.0,-1.3,-4.0,-1.5,-7.0,-5.95,-1.5,174.0,2.0,0.3,3.0,2.0,-2.0,0.6,-9.3,-0.04,-8.2,-1.0,-23.0,9.0,-2.0,-33.0,10.0,-1.6,0.1,-1.2,0.1,0.69,-2.0,-3.0,0.39,13.5,0.0,-1.3,0.6,0.0,-6.0,1.0,69.0,0.0,-1.0,3.9,-0.01,-6.0,3.0,2.56,-3.85,0.0,0.18,0.0,5.0,0.0,-4.0,-3.0,0.0,-12.0,1.2,0.0,-0.29,-29.0,-1.0,-1.7,0.4,-1.8,-18.0,-3.0,0.6,-2.0,0.1,0.7,0.7,0.003,9.0,-7.0,-30.0,3.0,-0.1,30.5,0.4
H-D,1.05,1.0,1.0,0.006,-3.0,-3.5,5.0,-0.35,3.0,-3.0,4.2,0.002,3.0,0.4,0.0,-0.01,-1.0,0.32,0.3,81.0,3.0,1.1,10.0,1.0,24.0,2.3,-8.1,-0.01,-0.7,4.0,-5.0,5.0,8.0,12.0,9.0,1.7,0.4,0.1,0.1,0.68,3.0,1.0,1.63,17.2,0.0,0.4,2.2,0.0,-2.0,2.0,61.0,1.4,0.0,5.6,0.0,0.0,4.0,1.72,-1.56,0.012,0.22,0.039,2.0,1.0,-2.0,0.0,0.0,17.0,1.4,-1.0,0.18,-7.0,3.0,0.5,-1.4,-1.3,1.0,-1.0,0.1,0.0,1.8,0.1,0.1,0.021,6.6,-2.0,7.0,0.0,0.2,-8.0,0.6
H-E,1.23,1.7,2.3,0.01,-4.0,-3.0,-3.0,-0.1,2.0,-2.0,1.0,0.0,1.0,0.4,-1.0,-0.62,-1.0,-1.29,-0.2,40.0,-1.0,1.4,-8.0,2.0,16.0,0.5,-7.8,-0.14,-2.3,1.0,-3.0,5.0,4.0,-5.0,11.0,0.3,1.0,-0.2,1.2,0.78,2.0,1.0,0.91,15.7,0.0,0.2,2.5,0.0,0.0,3.0,68.0,1.0,0.0,5.6,-0.14,-2.0,2.0,0.96,-2.77,0.011000000000000001,-0.19,0.04,-11.0,-1.0,0.0,0.0,0.0,5.0,0.1,-1.0,0.13,2.0,2.0,0.3,-0.2,-0.6,0.0,-1.0,1.4,-1.0,0.7,4.2,2.4,0.011000000000000001,0.0,0.0,-3.0,-1.0,0.4,-10.7,0.5
H-F,0.94,1.9,0.9,0.008,-5.0,-1.0,-10.0,-1.24,2.0,-9.0,0.9,0.003,-13.0,-0.1,-2.0,-0.22,-2.0,0.25,0.3,100.0,0.0,1.5,-10.0,2.0,6.0,1.3,-8.2,0.17,-1.7,-1.0,-6.0,7.0,-1.0,-3.0,9.0,-1.1,1.6,0.1,2.6,1.05,-2.0,-2.0,1.05,10.7,-1.0,0.0,1.0,2.0,-2.0,0.0,58.0,1.7,0.0,5.1,0.2,-2.0,4.0,2.63,-5.02,0.01,-0.06,0.013999999999999999,0.0,-9.0,-2.0,-2.0,0.0,3.0,1.6,0.0,-0.43,-8.0,-3.0,-0.9,2.0,-1.1,-1.0,-1.0,2.8,0.0,2.2,0.1,2.2,0.024,5.0,-2.0,-7.0,1.0,-0.5,12.3,2.0
